Name,Weight Class,Lift,Weight (kg),Date,Sex
Gabe Arroyo,52.0,Raw Open - Squat,168.0,2022-03-23,M
Caleb Tourres,52.0,Raw Open - Bench press,100.0,2008-07-01,M
Caleb Tourres,52.0,Raw Open - Bench press single lift,100.0,2008-07-01,M
Bodie Lacoe,52.0,Raw Open - Deadlift,217.5,2019-03-28,M
Bodie Lacoe,52.0,Raw Open - Deadlift single lift,217.5,2019-03-28,M
Gabe Arroyo,52.0,Raw Open - Total,415.5,2022-03-23,M
Eric Kupperstein,56.0,Raw Open - Squat,175.0,2011-08-20,M
Michael Gordiano,56.0,Raw Open - Bench press,125.0,2022-03-19,M
Michael Gordiano,56.0,Raw Open - Bench press single lift,125.0,2022-03-19,M
Dalton Lacoe,56.0,Raw Open - Deadlift,232.5,2015-10-15,M
Dalton Lacoe,56.0,Raw Open - Deadlift single lift,232.5,2015-10-15,M
Eric Kupperstein,56.0,Raw Open - Total,527.5,2011-08-20,M
Michael Kuhns,60.0,Raw Open - Squat,243.0,2021-06-14,M
Shaheed Bryant,60.0,Raw Open - Bench press,152.0,2021-06-14,M
Adam Zehr,60.0,Raw Open - Bench press single lift,157.5,2018-09-15,M
Charlie Yeng,60.0,Raw Open - Deadlift,275.0,2020-11-14,M
Charlie Yeng,60.0,Raw Open - Deadlift single lift,275.0,2020-11-14,M
Charlie Yeng,60.0,Raw Open - Total,622.5,2020-11-14,M
Jonathan Garcia,67.5,Raw Open - Squat,264.5,2021-06-14,M
Jonathan Garcia,67.5,Raw Open - Bench press,178.0,2020-11-21,M
Jonathan Garcia,67.5,Raw Open - Bench press single lift,178.0,2020-11-21,M
Daniel Clements,67.5,Raw Open - Deadlift,297.5,2021-06-14,M
Daniel Clements,67.5,Raw Open - Deadlift single lift,297.5,2021-06-14,M
Charles Okpoko,67.5,Raw Open - Total,705.5,2019-06-04,M
Taylor Atwood,75.0,Raw Open - Squat,303.0,2021-06-14,M
Taylor Atwood,75.0,Raw Open - Bench press,199.0,2020-10-18,M
Taylor Atwood,75.0,Raw Open - Bench press single lift,199.0,2020-10-18,M
Taylor Atwood,75.0,Raw Open - Deadlift,340.5,2021-06-14,M
